Itemcode,"Description                        ","Item_brand                              ","Packsize  ",Number_of_invoices,Quantity_sold,Uomid,"Ave_price_each       ","Ave_cost_each        ","Total_sales          ","Cost_of_goods_sold   ","Line_gross_profit    ",Gross_profit_per_muom,Profit_percent
"APPE12  ","Apple McIntosh ECO polybag 12/3#   ","ECO-branded                             ","          ",281,18780,"CS   ",23.993,20.0995,450589.25,377469.3275,73119.92,3.8935,0.1623
"APPE22  ","Apple Empire ECO polybag 12/3#     ","ECO-branded                             ","          ",281,16064,"CS   ",23.9979,20.1635,385502.89,323905.957,61596.93,3.8344,0.1598
"APPE11  ","Apple McIntosh ECO tote 10/4#      ","TJs                                     ","          ",191,11065,"CS   ",24.7501,21.2064,273859.75,234648.6347,39211.12,3.5437,0.1432
"APPE31  ","Apple Gala ECO tote 10/4#          ","TJs                                     ","          ",170,12259,"CS   ",25.75,22.5624,315669.25,276592.4121,39076.84,3.1876,0.1238
"TOM1    ","Tomato Hrlm Mix boxette 6/2.25# TJs","                                        ","          ",156,6895,"CS   ",28.7493,24.2335,198226.55,167090.2043,31136.35,4.5158,0.1571
"APPE14  ","Apple McIntosh ECO 88s             ","                                        ","          ",433,7281,"CS   ",28.9515,25.4331,210795.65,185178.6248,25617.03,3.5184,0.1215
"PCHE3   ","Peach ECO basket 6/3.5#            ","                                        ","          ",221,4863,"CS   ",25.3697,20.9458,123372.92,101859.3114,21513.61,4.4239,0.1744
"PCH3    ","Peach basket 6/3.5#                ","                                        ","          ",35,3050,"CS   ",24.9469,20.0202,76087.9,61061.7052,15026.19,4.9267,0.1975
"APPE71  ","Apple Macoun ECO tote 10/4#        ","TJs                                     ","          ",132,4152,"CS   ",26.75,23.1847,111066,96263.055,14802.95,3.5653,0.1333
"APPE61  ","Apple Paula Red ECO tote 10/4#     ","TJs                                     ","          ",42,4340,"CS   ",24.7542,21.3603,107433.2,92703.8,14729.4,3.3939,0.1371
"PCHE2   ","Peach ECO punnet 8/3#              ","                                        ","          ",27,5461,"CS   ",23.3067,20.6702,127277.75,112880,14397.75,2.6365,0.1131
"APPE84  ","Apple Cortland ECO 80s             ","                                        ","          ",424,4235,"CS   ",27.7831,24.4552,117661.45,103567.9814,14093.47,3.3279,0.1198
"APPE81  ","Apple Cortland ECO tote 10/4#      ","TJs                                     ","          ",138,3321,"CS   ",24.7503,21.1542,82195.75,70252.9328,11942.82,3.5961,0.1453
"APPE42  ","Apple Honeycrisp ECO polybag 12/3# ","ECO-branded                             ","          ",43,1507,"CS   ",34.9993,29.0071,52744,43713.7206,9030.28,5.9922,0.1712
"STR1    ","Strawberry Native 8 quart          ","                                        ","          ",112,1334,"CS   ",31.2562,25.7477,41695.75,34347.4974,7348.25,5.5085,0.1762
"APPE44  ","Apple Honeycrisp ECO 80/88s        ","                                        ","          ",9,1476,"CS   ",58.9499,54.2259,87010,80037.4244,6972.58,4.724,0.0801
"BLU1    ","Blueberry 12 pint                  ","                                        ","          ",68,2916,"CS   ",23.1421,20.8174,67482.25,60703.4293,6778.82,2.3247,0.1005
"COR3    ","Corn Sweet bag 60s                 ","                                        ","          ",239,3811,"CS   ",15.5024,13.9944,59079.75,53332.6798,5747.07,1.508,0.0973
"APP31   ","Apple Gala tote 10/4#              ","TJs                                     ","          ",35,1350,"CS   ",25.7483,21.6368,34760.25,29209.711,5550.54,4.1115,0.1597
"PUM19   ","Pumpkin 18-22#ea 39-40ct bin ~790# ","                                        ","          ",41,116,"BN   ",186.5517,140,21640,16240,5400,46.5517,0.2495
"SQU1    ","Squash Zucchini #1 1/2bu ~20#      ","                                        ","          ",261,3184,"CS   ",12.047,10.3669,38357.79,33008.1951,5349.59,1.6801,0.1395
"BLUF1   ","Blueberry FRESH 12 pint            ","                                        ","          ",23,1709,"CS   ",21.8059,18.7938,37266.25,32118.6032,5147.65,3.0121,0.1381
"TOM2    ","Tomato Premium XL 1-layer flat 11# ","                                        ","          ",17,1656,"CS   ",24.1256,21.57,39952,35720,4232,2.5556,0.1059
"APP14   ","Apple McIntosh 88s                 ","                                        ","          ",24,1132,"CS   ",29.1705,25.6309,33021,29014.232,4006.77,3.5396,0.1213
"APPE24  ","Apple Empire ECO 80/88s            ","                                        ","          ",15,1695,"CS   ",23.4661,21.149,39775,35847.5,3927.5,2.3171,0.0987
"SQU3    ","Squash Yellow 1/2bu ~20#           ","                                        ","          ",243,2315,"CS   ",12.6415,11.1443,29264.96,25799.0067,3465.95,1.4972,0.1184
"APPE101 ","Apple Jonamac ECO tote 10/4#       ","TJs                                     ","          ",10,831,"CS   ",21.97,17.7996,18257.07,14791.4784,3465.59,4.1704,0.1898
"APP271  ","Apple Cripps Pink tote 10/4#       ","TJs                                     ","          ",24,769,"CS   ",25.7393,21.2816,19793.5,16365.5203,3427.98,4.4577,0.1732
"PCHE1   ","Peach ECO 2-3/4""+ 2-layer tray 19# ","                                        ","          ",111,1410,"CS   ",26.3062,23.9156,37091.75,33721.0067,3370.74,2.3906,0.0909
"TAN4    ","Tangerine Ojai Pixie jmbo loose 25#","                                        ","          ",4,720,"CS   ",41.75,37.404,30060,26930.88,3129.12,4.346,0.1041
"SQUF1   ","Squash Zucchini #1 FRESH 1/2 bu    ","                                        ","          ",115,1000,"CS   ",18.6025,15.6603,18602.5,15660.2536,2942.25,2.9422,0.1582
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","                                        ","          ",16,1087,"CS   ",24.8319,22.2402,26992.25,24175.1396,2817.11,2.5917,0.1044
"APP34   ","Apple Gala 100s                    ","                                        ","          ",5,756,"CS   ",29.6111,25.9444,22386,19614,2772,3.6667,0.1238
"SQU44   ","Squash Butternut bin ~700#         ","                                        ","          ",31,44,"BN   ",242,180,10648,7920,2728,62,0.2562
"KALO4   ","Kale OG bunch 24s                  ","                                        ","          ",34,1387,"CS   ",24.3977,22.4828,33839.6,31183.6856,2655.91,1.9149,0.0785
"CUC1    ","Cucumber Super Select 1-1/9 bu     ","                                        ","          ",96,445,"CS   ",29.2382,23.3993,13011,10412.6749,2598.33,5.8389,0.1997
"TOM5    ","Tomato XL loose 20#                ","                                        ","          ",58,524,"CS   ",25.2428,20.2971,13227.25,10635.6823,2591.57,4.9457,0.1959
"ASPF1   ","Asparagus FRESH bunch 28/1#        ","                                        ","          ",13,438,"CS   ",64.528,58.8132,28263.25,25760.1943,2503.06,5.7148,0.0886
"APP74   ","Apple Macoun 80/88s                ","                                        ","          ",5,899,"CS   ",29.6541,26.8737,26659,24159.5,2499.5,2.7804,0.0938
"LET1    ","Lettuce Green Leaf 24s             ","                                        ","          ",213,1091,"CS   ",16.8967,14.7984,18434.25,16145.0056,2289.24,2.0983,0.1242
"TOM25   ","Tomato Heirloom Beefsteak flat 15# ","                                        ","          ",7,1125,"CS   ",44,42,49500,47250,2250,2,0.0455
"SPIO1   ","Spinach OG bunch 24s               ","                                        ","          ",23,712,"CS   ",25.6173,22.4746,18239.5,16001.88,2237.62,3.1427,0.1227
"LET4    ","Lettuce Red Leaf 24s               ","                                        ","          ",248,1164,"CS   ",16.9235,15.1123,19699,17590.6723,2108.33,1.8112,0.107
"KALF1   ","Kale FRESH bunch 12s               ","                                        ","          ",64,785,"CS   ",19.3013,16.6668,15151.5,13083.4517,2068.05,2.6345,0.1365
"PUM20   ","Pumpkin Sugar 4-6#ea 225ct bin~900#","                                        ","          ",23,27,"BN   ",300,225,8100,6075,2025,75,0.25
"BEAO3   ","Bean Green OG 1bu loose 25#        ","                                        ","          ",71,354,"CS   ",31.7451,26.3085,11237.75,9313.1965,1924.55,5.4366,0.1713
"BRO2    ","Broccoli 20#                       ","                                        ","          ",242,813,"CS   ",23.8967,21.5434,19428,17514.7613,1913.24,2.3533,0.0985
"PCHE9   ","Peach ECO 2-7/8"" 2-layer tray      ","                                        ","          ",8,684,"CS   ",25,22.3331,17100,15275.85,1824.15,2.6669,0.1067
"CUCF1   ","Cucumber Super Select FRESH 1-1/9bu","                                        ","          ",35,480,"CS   ",29.7563,26.2063,14283,12579.04,1703.96,3.55,0.1193
"TAN1    ","Tangerine Ojai Pixie sm loose 25#  ","                                        ","          ",11,574,"CS   ",28.1503,25.3045,16158.27,14524.8104,1633.46,2.8458,0.1011
"BEEO9   ","Beet Red OG 25#                    ","                                        ","          ",17,1460,"CS   ",24.1027,23,35190,33580,1610,1.1027,0.0458
"LET11   ","Lettuce Romaine Heart 12/18oz      ","                                        ","          ",102,419,"CS   ",24.3031,20.5409,10183,8606.6199,1576.38,3.7622,0.1548
"APPE25  ","Apple Empire ECO 175s              ","                                        ","          ",5,264,"CS   ",24.5,18.6466,6468,4922.7,1545.3,5.8534,0.2389
"TOM37   ","Tomato Premium 20#                 ","                                        ","          ",129,577,"CS   ",24.3557,21.7248,14053.25,12535.2374,1518.01,2.6309,0.108
"TOM18   ","Tomato medium loose 25#            ","                                        ","          ",5,967,"CS   ",15.7363,14.2022,15217,13733.5,1483.5,1.5341,0.0975
"CUC2    ","Cucumber Select 1-1/9 bu           ","                                        ","          ",61,271,"CS   ",30.2122,24.78,8187.5,6715.368,1472.13,5.4322,0.1798
"BEA9    ","Bean Shell Cranberry 25#           ","                                        ","          ",19,368,"CS   ",42.0598,38.0757,15478,14011.8758,1466.12,3.9841,0.0947
"LET9    ","Lettuce Boston 24s                 ","                                        ","          ",105,885,"CS   ",15.8073,14.1755,13989.5,12545.3232,1444.18,1.6318,0.1032
"BEEF1   ","Beet Red FRESH bunch 12s           ","                                        ","          ",69,494,"CS   ",20.5268,17.7425,10140.25,8764.7906,1375.46,2.7843,0.1356
"CUC3    ","Cucumber Pickle 1/2bu ~20#         ","                                        ","          ",125,727,"CS   ",15.5,13.6692,11268.5,9937.4875,1331.01,1.8308,0.1181
"MINF1   ","Mint FRESH bunch 12s               ","                                        ","          ",53,587,"CS   ",16.8326,14.5899,9880.75,8564.2684,1316.48,2.2427,0.1332
"APPE83  ","Apple Cortland ECO tote 8/5#       ","                                        ","          ",7,441,"CS   ",26.7245,23.8654,11785.5,10524.661,1260.84,2.8591,0.107
"PEP8    ","Pepper Bell Green XL 1-1/9bu ~55s  ","                                        ","          ",245,957,"CS   ",18.4873,17.183,17692.3,16444.1456,1248.15,1.3043,0.0705
"TOMO34  ","Tomato Heirloom Chef OG 10#        ","                                        ","          ",7,1008,"CS   ",14.2,13,14313.6,13104,1209.6,1.2,0.0845
"APPE26  ","Apple Empire ECO 198s              ","                                        ","          ",4,191,"CS   ",27.72,21.6,5294.52,4125.6,1168.92,6.12,0.2208
"TOM14   ","Tomato large loose 25#             ","                                        ","          ",17,859,"CS   ",19.6534,18.3447,16882.25,15758.1327,1124.12,1.3087,0.0666
"CILF1   ","Cilantro FRESH bunch 24s           ","                                        ","          ",53,398,"CS   ",21.8405,19.063,8692.5,7587.0712,1105.43,2.7775,0.1272
"APP71   ","Apple Macoun tote 10/4#            ","                                        ","          ",7,237,"CS   ",26.75,22.1535,6339.75,5250.3764,1089.37,4.5965,0.1718
"PEPO8   ","Pepper Bell Green XL OG 1-1/9 bu   ","                                        ","          ",8,362,"CS   ",26.5224,23.5525,9601.1,8526,1075.1,2.9699,0.112
"TUR3    ","Turnip Macomber 1-1/9 bu ~45#      ","                                        ","          ",20,392,"CS   ",27.3903,24.6826,10737,9675.5908,1061.41,2.7077,0.0989
"CAB1    ","Cabbage Green 12-18s 50#           ","                                        ","          ",211,733,"CS   ",12.3612,10.9465,9060.75,8023.7588,1036.99,1.4147,0.1144
"SQUO2   ","Squash Zucchini OG                 ","                                        ","          ",8,440,"CS   ",25.3173,22.9795,11139.6,10111,1028.6,2.3378,0.0923
"TOMO14  ","Tomato large OG loose 25#          ","                                        ","          ",12,268,"CS   ",30.3451,26.5112,8132.5,7105,1027.5,3.8339,0.1263
"TOM27   ","Tomato Heirloom Mix 8qt            ","                                        ","          ",6,374,"CS   ",29.3786,26.6921,10987.6,9982.849,1004.75,2.6865,0.0914
"SQU45   ","Squash Acorn bin ~700#             ","                                        ","          ",16,16,"BN   ",242,180,3872,2880,992,62,0.2562
"POLY2   ","PKG Polybag Apple ECO 3# 1000/cs   ","ECO-branded                             ","          ",8,336.47,"CS   ",57.1035,54.1878,19213.6,18232.5612,981.04,2.9157,0.0511
"PLM1    ","Plum Prune Italian loose 1/2 bu    ","                                        ","          ",5,350,"CS   ",25.75,23,9012.5,8050,962.5,2.75,0.1068
"ASP4    ","Asparagus 30#                      ","                                        ","          ",6,192,"CS   ",65,60,12480,11520,960,5,0.0769
"SQUF3   ","Squash Yellow FRESH 1/2 bu         ","                                        ","          ",71,255,"CS   ",20.148,16.4244,5137.75,4188.2096,949.54,3.7236,0.1848
"SQU6    ","Squash Spaghetti 1-1/9 bu ~40#     ","                                        ","          ",175,494,"CS   ",23.8912,21.9937,11802.25,10864.9048,937.35,1.8975,0.0794
"RHU1    ","Rhubarb loose 20#                  ","                                        ","          ",18,463,"CS   ",31.5756,29.594,14619.5,13702,917.5,1.9816,0.0628
"APP73   ","Apple Macoun tote 8/5#             ","                                        ","          ",4,280,"CS   ",26.25,23,7350,6440,910,3.25,0.1238
"APPE33  ","Apple Gala ECO tote 8/5#           ","                                        ","          ",9,252,"CS   ",27.2659,23.7563,6871,5986.5825,884.42,3.5096,0.1287
"BEAO5   ","Bean Wax OG loose 1bu 25#          ","                                        ","          ",57,165,"CS   ",31.6455,26.3283,5221.5,4344.1773,877.32,5.3172,0.168
"CORF3   ","Corn Sweet FRESH bag 60s           ","                                        ","          ",27,99,"CS   ",23.5202,14.7071,2328.5,1456,872.5,8.8131,0.3747
"TOM9    ","Tomato Heirloom Mix flat 15#       ","                                        ","          ",3,130,"CS   ",31.325,25,4072.25,3250,822.25,6.325,0.2019
"TOM31   ","Tomato Beefsteak greenhouse 10#    ","                                        ","          ",2,408,"CS   ",22,20,8976,8160,816,2,0.0909
"SWIF2   ","Swiss Chard Red FRESH bunch 24s    ","                                        ","          ",50,333,"CS   ",18.3011,15.8874,6094.25,5290.5005,803.75,2.4137,0.1319
"LETF5   ","Lettuce Romaine FRESH 24s          ","                                        ","          ",47,216,"CS   ",21.4965,17.8027,4643.25,3845.3805,797.87,3.6938,0.1718
"APP33   ","Apple Gala tote 8/5#               ","                                        ","          ",2,225,"CS   ",26.5,23,5962.5,5175,787.5,3.5,0.1321
"RADF1   ","Radish Red FRESH bunch 24s         ","                                        ","          ",31,282,"CS   ",19.3014,16.5568,5443,4669.0192,773.98,2.7446,0.1422
"LET5    ","Lettuce Romaine 24s                ","                                        ","          ",160,1083,"CS   ",16.997,16.3458,18407.75,17702.4878,705.26,0.6512,0.0383
"SWIF1   ","Swiss Chard Green FRESH bunch 24s  ","                                        ","          ",52,269,"CS   ",19.1041,16.4921,5139,4436.3696,702.63,2.612,0.1367
"TOMO15  ","Tomato Hrlm Cocktail Mix OGclam20oz","                                        ","          ",5,240,"CS   ",32.0833,29.1667,7700,7000,700,2.9166,0.0909
"SWIO1   ","Swiss Chard Green OG bunch 24s     ","                                        ","          ",13,423,"CS   ",24.2208,22.6078,10245.4,9563.1061,682.29,1.613,0.0666
"CUCO11  ","Cucumber Super Select OG 1/2bu     ","                                        ","          ",7,276,"CS   ",24.8174,22.3551,6849.6,6170,679.6,2.4623,0.0992
"COR1    ","Corn Sweet bag 52s                 ","                                        ","          ",6,410,"CS   ",15.5,13.9024,6355,5700,655,1.5976,0.1031
"LETF4   ","Lettuce Red Leaf FRESH 24s         ","                                        ","          ",40,172,"CS   ",20.8125,17.0698,3579.75,2936.0007,643.75,3.7427,0.1798
"SPIF1   ","Spinach FRESH bunch 24s            ","                                        ","          ",38,199,"CS   ",22.9447,19.7352,4566,3927.3012,638.7,3.2095,0.1399
"PCHE8   ","Peach ECO White 2-3/4""+ 2-layr tray","                                        ","          ",2,251,"CS   ",25,22.5,6275,5647.5,627.5,2.5,0.1
"APPE113 ","Apple Ginger Gold ECO tote 8/5#    ","                                        ","          ",12,382,"CS   ",25.6178,24.0551,9786,9189.059,596.94,1.5627,0.061
"CAB7    ","Cabbage Savoy 12-18s 50#           ","                                        ","          ",6,468,"CS   ",14.7788,13.5163,6916.5,6325.62,590.88,1.2625,0.0854
"APP84   ","Apple Cortland 80s                 ","                                        ","          ",1,168,"CS   ",29.5,26,4956,4368,588,3.5,0.1186
"EGGO12  ","Eggplant Specialty Lg OG 1-1/9 bu  ","                                        ","          ",5,203,"CS   ",26.4089,23.5714,5361,4785,576,2.8375,0.1074
"APPE114 ","Apple Ginger Gold ECO 80s          ","                                        ","          ",12,169,"CS   ",27.9512,24.6114,4723.75,4159.3289,564.42,3.3398,0.1195
"DANF1   ","Dandelion Greens FRESH bunch 12s   ","                                        ","          ",49,199,"CS   ",21.2136,18.421,4221.5,3665.7802,555.72,2.7926,0.1316
"BEE1    ","Beet Red bunch 12s                 ","                                        ","          ",157,197,"CS   ",18.3084,15.5088,3606.75,3055.2384,551.51,2.7996,0.1529
"LETF9   ","Lettuce Boston FRESH 24s           ","                                        ","          ",39,146,"CS   ",19.7072,15.9436,2877.25,2327.7594,549.49,3.7636,0.191
"KALO6   ","Kale Lacinato OG bunch 24s         ","                                        ","          ",8,185,"CS   ",30.4216,27.5045,5628,5088.33,539.67,2.9171,0.0959
"ONI10   ","Onion Yellow med bag 50#           ","                                        ","          ",58,295,"BG   ",18.1686,16.4064,5359.75,4839.8989,519.85,1.7622,0.097
"SQUO5   ","Squash Goldbar OG 1/2 bu           ","                                        ","          ",11,220,"CS   ",25.2982,22.9364,5565.6,5046,519.6,2.3618,0.0934
"TOMO36  ","Tomato Cherry Mix OG 12 pint       ","                                        ","          ",11,215,"CS   ",26.4135,24,5678.9,5160,518.9,2.4135,0.0914
"DILF1   ","Dill FRESH bunch 24s               ","                                        ","          ",50,179,"CS   ",21.4204,18.6009,3834.25,3329.5606,504.69,2.8195,0.1316
"BASF1   ","Basil FRESH bunch 15s              ","                                        ","          ",40,168,"CS   ",21.6622,18.6648,3639.25,3135.6806,503.57,2.9974,0.1384
"ARUF1   ","Arugula FRESH bunch 24s            ","                                        ","          ",53,199,"CS   ",18.2487,15.7292,3631.5,3130.1108,501.39,2.5195,0.1381
"LETF1   ","Lettuce Green Leaf FRESH 24s       ","                                        ","          ",35,117,"CS   ",25.6432,21.4763,3000.25,2512.731,487.52,4.1669,0.1625
"EGG16   ","Eggplant Classic 1-1/9bu           ","                                        ","          ",112,318,"CS   ",13.7925,12.2994,4386,3911.2026,474.8,1.4931,0.1083
"APP24   ","Apple Empire 80/88s                ","                                        ","          ",1,126,"CS   ",29.5,25.75,3717,3244.5,472.5,3.75,0.1271
"PEPF8   ","Pepper Bell Green XL FRESH         ","                                        ","          ",23,101,"CS   ",25.4282,20.7824,2568.25,2099.0198,469.23,4.6458,0.1827
"LETO5   ","Lettuce Romaine OG 24s             ","                                        ","          ",16,201,"CS   ",24.9129,22.6213,5007.5,4546.8895,460.61,2.2916,0.092
"TAN3    ","Tangerine Ojai Pixie sm bag 8/3#   ","                                        ","          ",2,144,"CS   ",31.4,28.26,4521.6,4069.44,452.16,3.14,0.1
"SWIF3   ","Swiss Chard Rainbow FRESH bunch 12s","                                        ","          ",55,75,"CS   ",23.2333,17.2528,1742.5,1293.9595,448.54,5.9805,0.2574
"PEA1    ","Pea Sugar Snap 10#                 ","                                        ","          ",13,102,"CS   ",32.1078,27.7719,3275,2832.7303,442.27,4.3359,0.135
"LETO4   ","Lettuce Red Leaf OG 24s            ","                                        ","          ",13,182,"CS   ",24.9945,22.5669,4549,4107.1695,441.83,2.4276,0.0971
"POT7    ","Potato Yukon Gold bag 50#          ","                                        ","          ",5,255,"CS   ",19.8333,18.1255,5057.5,4622.0066,435.49,1.7078,0.0861
"SQUO9   ","Squash Zucchini 8-Ball OG 1/2bu    ","                                        ","          ",10,178,"CS   ",26.441,24,4706.5,4272,434.5,2.441,0.0923
"TOM32   ","Tomato on the vine 11#             ","                                        ","          ",2,289,"CS   ",16,14.5,4624,4190.5,433.5,1.5,0.0938
"APPE23  ","Apple Empire ECO tote 8/5#         ","                                        ","          ",4,160,"CS   ",23.9375,21.3438,3830,3415,415,2.5937,0.1084
"KALO5   ","Kale Red Russian OG 24s            ","                                        ","          ",8,170,"CS   ",24.4382,22,4154.5,3740,414.5,2.4382,0.0998
"EGGF3   ","Eggplant #1 FRESH 1-1/9bu          ","                                        ","          ",26,207,"CS   ",18.4819,16.4993,3825.75,3415.3586,410.39,1.9826,0.1073
"PARF1   ","Parsley Flat FRESH bunch 30s 1/2bu ","                                        ","          ",33,151,"CS   ",20.4387,17.7248,3086.25,2676.4508,409.8,2.7139,0.1328
"TOMO13  ","Tomato Cherry Mix OG clam 12 pint  ","                                        ","          ",5,170,"CS   ",26.4,24,4488,4080,408,2.4,0.0909
"TOMO21  ","Tomato Sungold OG 12 pint          ","                                        ","          ",1,50,"CS   ",30,22,1500,1100,400,8,0.2667
"ONI5    ","Onion Spring Yellow bunch 12s      ","                                        ","          ",4,73,"CS   ",19.8973,14.6722,1452.5,1071.068,381.43,5.2251,0.2626
"PER4    ","Pear Shinseiki ~60ct basket 6/3.5# ","                                        ","          ",11,197,"CS   ",20.2919,18.3579,3997.5,3616.5002,381,1.934,0.0953
"BEAF1   ","Bean Green FRESH 1 bu              ","                                        ","          ",34,39,"CS   ",41.1282,31.4056,1604,1224.8196,379.18,9.7226,0.2364
"SQU46   ","Squash Buttercup ~700#             ","                                        ","          ",5,5,"BN   ",300,225,1500,1125,375,75,0.25
"PER3    ","Pear Hosui 44-48ct 2-layer tray    ","                                        ","          ",6,154,"CS   ",24.0747,21.6709,3707.5,3337.32,370.18,2.4038,0.0998
"RAMO2   ","Ramp OG per #                      ","                                        ","          ",4,475,"LB   ",8.0395,7.2632,3818.75,3450,368.75,0.7763,0.0966
"APPE73  ","Apple Macoun ECO tote 8/5#         ","                                        ","          ",4,113,"CS   ",26.0509,22.8875,2943.75,2586.29,357.46,3.1634,0.1214
"TOMO9   ","Tomato Mountain Magic OG clam      ","                                        ","          ",6,150,"CS   ",25.6667,23.3333,3850,3500,350,2.3334,0.0909
"RAD2    ","Radish Red Ball OG 24s             ","                                        ","          ",10,148,"CS   ",24.3209,21.973,3599.5,3252,347.5,2.3479,0.0965
"LETO1   ","Lettuce Green Leaf OG 24s          ","                                        ","          ",8,141,"CS   ",24.7801,22.3265,3494,3148.0303,345.97,2.4536,0.099
"PEP5    ","Pepper Cubanelle 1-1/9bu           ","                                        ","          ",51,165,"CS   ",19.1636,17.0924,3162,2820.241,341.76,2.0712,0.1081
"ESCF1   ","Escarole FRESH head 14-18s 30#     ","                                        ","          ",22,112,"CS   ",20.1451,17.1489,2256.25,1920.6798,335.57,2.9962,0.1487
"LETO18  ","Lettuce Baby Mix OG 24s            ","                                        ","          ",5,169,"CS   ",19.9763,18,3376,3042,334,1.9763,0.0989
"APPE15  ","Apple McIntosh ECO 100s            ","                                        ","          ",13,215,"CS   ",24.5164,22.9962,5271.02,4944.1796,326.84,1.5202,0.062
"COLO3   ","Collard Greens OG bunch 24s        ","                                        ","          ",7,134,"CS   ",24.4328,22,3274,2948,326,2.4328,0.0996
"COLF1   ","Collard Greens FRESH bunch 12s     ","                                        ","          ",47,138,"CS   ",16.8786,14.5322,2329.25,2005.4399,323.81,2.3464,0.139
"PEPO24  ","Pepper Shishito OG clam 12pt       ","                                        ","          ",6,134,"CS   ",26.4,24,3537.6,3216,321.6,2.4,0.0909
"CABF1   ","Cabbage Green FRESH 12-18s 50#     ","                                        ","          ",49,102,"CS   ",20.5637,17.4223,2097.5,1777.07,320.43,3.1414,0.1528
"SQUO15  ","Squash Yellow One-Ball OG 1/2bu    ","                                        ","          ",7,126,"CS   ",26.4476,24,3332.4,3024,308.4,2.4476,0.0925
"GRA4    ","Grape Mars 8/.75# clamshell        ","                                        ","          ",1,118,"CS   ",23.75,21.25,2802.5,2507.5,295,2.5,0.1053
"SQUO29  ","Squash Bi-Color Zephyr OG 1/2 bu   ","                                        ","          ",8,119,"CS   ",26.3353,23.8992,3133.9,2844,289.9,2.4361,0.0925
"PER17   ","Pear Bartlett Red tote 8/6#        ","                                        ","          ",27,91,"CS   ",35.2418,32.0569,3207,2917.1819,289.82,3.1849,0.0904
"SQU8    ","Squash Buttercup 1-1/9 bu ~40#     ","                                        ","          ",91,196,"CS   ",21.2372,19.7989,4162.5,3880.5822,281.92,1.4383,0.0677
"CAB2    ","Cabbage Red 12-18s 50#             ","                                        ","          ",48,85,"CS   ",20.3147,17.0638,1726.75,1450.4201,276.33,3.2509,0.16
"MUSF1   ","Mustard Greens FRESH bunch 12s     ","                                        ","          ",50,81,"CS   ",19.7346,16.4267,1598.5,1330.56,267.94,3.3079,0.1676
"EGGO2   ","Eggplant Italian OG 24s            ","                                        ","          ",5,109,"CS   ",26.4,24,2877.6,2616,261.6,2.4,0.0909
"SQU43   ","Squash Gourd LunchLady 4-6# bin400#","                                        ","          ",12,12,"BN   ",145.8333,124.42,1750,1493.0399,256.96,21.4133,0.1468
"GRA6    ","Grape Marquis 8/.75# clamshell     ","                                        ","          ",3,102,"CS   ",23.75,21.25,2422.5,2167.5,255,2.5,0.1053
"PEAF2   ","Pea Shelling English FRESH 25#     ","                                        ","          ",14,19,"CS   ",60.75,47.3684,1154.25,899.9999,254.25,13.3816,0.2203
